24-0000010039,02-0000064496,180,20000101,20000101,190879.2537,547387.4784,,,1,2,1,2221422,1,,24-010039,14767,1,1
24-0000012356,02-0000124475,180,20160801,20160801,198169.6295,551924.8924,신흥IND,,1,2,1,3360932,1,2016-0101-109,24-012356,17084,1,2
24-0000006480,02-0000162795,180,20090430,20160623,192322.2236,553649.3602,신흥IND,0,1,2,1,2353271,1,2016-0101-109,24-006480,12346,1,2
24-0000017995,02-0000152394,,20200526,20200526,205994.8586,553916.7054,,,1,2,1,5324631,1,2020-0101-115,24-017995,22723,,1
24-0000020052,02-0000169244,,20221209,20221209,,,대한신호,,1,2,1,5440591,1,2022-0101-110,24-020052,24780,,1
24-0000008505,02-0000174520,180,20141202,20201214,192171.2875,551753.0062,대한신호,0,6,2,1,2340905,1,2020-0101-105,24-008505,13639,1,2
24-0000010082,02-0000034311,180,20171130,20171130,189913.4559,542886.982,,,1,2,1,2102421,1,2017-0101-157,24-010082,14810,1,4
24-0000009271,02-0000174246,180,20171115,20201214,192207.2514,551775.4839,대한신호,,1,2,1,2350005,1,2020-0101-105,24-009271,13999,1,2
24-0000001061,02-0000035632,180,20070601,20070601,204649.4072,542612.8674,,,6,1,1,,1,2014-0101-103,24-001061,3584,1,3
24-0000017411,02-0000016937,,20200113,20221021,183464.5034,552046.801,대한신호,,1,2,1,3705510,1,2022-0101-006,24-017411,22139,,4
24-0000000594,02-0000113062,180,,,187924.5468,550823.0666,,,4,1,1,,1,2008-1101-621,24-000594,9378,1,4
24-0000001378,02-0000037106,180,20070601,20070601,208645.4221,542929.6059,,,6,1,1,,1,2014-0101-103,24-001378,3713,1,3
24-0000010536,02-0000140156,180,20140623,20140623,203057.9452,554314.457,,,1,2,1,4365712,1,,24-010536,15264,1,6
24-0000010675,02-0000060489,180,20140614,20140614,190248.7521,546858.3166,한길HC,,6,2,1,2210126,1,2014-0201-030,24-010675,15403,1,1
24-0000019157,02-0000158544,,20211101,20211101,204820.3083,544174.331,㈜신흥트레픽,,1,2,1,5104281,1,2021-0101-065,24-019157,23885,,1
24-0000000142,02-0000041610,180,20000101,20000101,208197.8487,545816.2741,,,1,1,1,,1,2000-0000-000,24-000142,4035,1,
24-0000009781,02-0000025278,180,20000101,20130926,192822.45,547280.9812,한길HC,,6,2,1,2261206,1,2013-0111-019,24-009781,14509,1,2
24-0000017410,02-0000106234,,20200113,20221021,183453.7534,552043.1135,대한신호,,1,2,1,3705510,1,2022-0101-006,24-017410,22138,,4
24-0000001863,02-0000130534,180,20070601,20070601,201653.3879,552722.268,,,4,1,1,,1,2008-1211-502,24-001863,10394,1,1
24-0000019156,02-0000036406,,20211101,20211101,204834.1208,544182.2685,㈜신흥트레픽,,1,2,1,5104381,1,2021-0101-065,24-019156,23884,,1
24-0000003724,02-0000137612,180,20070601,20110419,192163.8709,544000.213,한길에이치씨,,1,1,1,,1,2010-0101-073,24-003724,10825,1,2
24-0000014434,02-0000024570,180,20171016,20171016,194040.8843,547472.5048,한길에이치씨,,1,2,1,2281746,1,2017-0101-104,24-014434,19162,1,1
24-0000000134,02-0000041757,180,10101,20121023,208174.6882,545812.4242,.,,2,1,1,,1,2012-1101-034,24-000134,4049,1,3
24-0000019737,02-0000220723,,20221007,20221007,190725.2375,542799.0312,,,1,2,1,2122001,1,2021-1701-009,24-019737,24465,,1
24-0000019736,02-0000220722,,20221007,20221007,190770.2,542800.7437,,,1,2,1,21221110,1,2021-1701-009,24-019736,24464,,1
24-0000000367,02-0000042310,180,20140419,20200506,208566.2791,544511.4963,대한신호㈜,,6,2,1,5175757,1,2020-0101-018,24-000367,4080,1,4
24-0000012842,02-0000195290,180,20170520,20170520,197232.887,550629.7359,신흥IND,,1,2,1,3257172,1,2015-0201-071,24-012842,17570,1,1
24-0000005083,02-0000099691,180,20081219,20110602,211026.1421,550477.9933,삼일, ,1,2,1, ,1,2011-0101-115,24-005083,8191,1,2
24-0000000900,02-0000041876,180,20180615,20180615,208469.5909,545250.9602,(주)대한신호,,1,2,1,5177503,1,2000-0000-000,24-000900,4068,1,1
24-0000002775,02-0000053568,180,20070601,20070601,212052.4516,547729.9701,,,6,1,1,,1,2013-0401-005,24-002775,4699,1,3
24-0000004604,02-0000133473,180,20070601,20070601,191964.6838,542864.9973,0,,2,1,1,,1,2000-0000-000,24-004604,10511,1,
24-0000003901,02-0000139032,180,20070601,20201214,193503.325,549558.8687,대한신호,,1,2,1,2275665,1,2020-0101-105,24-003901,10975,1,2
